filepath,label,label_id,is_augmented
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_3992.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Caries\original\158.jpg,Caries,0,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_5021.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_8704.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Hypodontia\(126).jpg,Hypodontia,5,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_5618.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Gingivitis\(1980).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(1393).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_244.jpeg,Caries,0,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\99.jpg,Caries,0,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_1643.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4356.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_3677.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Caries\original\59.jpg,Caries,0,0
C:\lab-hackathon\dataset\Gingivitis\(1330).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Calculus\(125).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Gingivitis\(1115).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(723).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(1358).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\(56).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(1447).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\original\166.jpg,Tooth Discoloration,3,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_3466.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Calculus\(1162).jpg,Calculus,1,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\(133).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Calculus\(21).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_8156.jpeg,Caries,0,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4307.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_6560.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\347.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_8875.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(796).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_6280.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Calculus\(712).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Calculus\(1049).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Hypodontia\(1036).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\(107).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_1330.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(1812).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_1404.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_3484.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Calculus\(399).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_1994.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_3246.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_8635.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_7290.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(2146).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_3390.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Calculus\(982).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_7841.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_2474.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_599.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Gingivitis\(817).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_8932.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_6549.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4853.jpeg,Caries,0,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4469.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Gingivitis\(1855).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(1233).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Calculus\(714).jpg,Calculus,1,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_3946.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Calculus\(262).jpg,Calculus,1,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_134.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Hypodontia\(1137).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_5379.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_9465.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_111.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_453.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Calculus\(6).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Gingivitis\(1809).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_90.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4600.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_3449.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Calculus\(20).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_5994.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_1836.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Ulcers\original\207.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_8652.jpeg,Caries,0,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\164.jpg,Caries,0,0
C:\lab-hackathon\dataset\Gingivitis\(1617).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(2063).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\(27).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_3175.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_3424.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Gingivitis\(266).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(1997).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(95).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4373.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Gingivitis\(469).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(242).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(1050).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\original\73.jpg,Tooth Discoloration,3,0
C:\lab-hackathon\dataset\Gingivitis\(1708).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Ulcers\original\209.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_2408.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(1866).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(91).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_115.jpeg,Ulcers,4,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_562.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Calculus\(277).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_2196.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_6219.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Hypodontia\(1246).jpg,Hypodontia,5,0
C:\lab-hackathon\dataset\Gingivitis\(2177).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Calculus\(381).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_3040.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Calculus\(489).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Ulcers\original\17.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Calculus\(536).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_324.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_2966.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Gingivitis\(1427).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_9169.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_2486.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Calculus\(224).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Gingivitis\(631).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Calculus\(221).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Gingivitis\(1632).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_2270.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_1547.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\420.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_3493.jpeg,Caries,0,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\564.jpg,Tooth Discoloration,3,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_3318.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Gingivitis\(514).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_5555.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(1426).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Hypodontia\(116).jpg,Hypodontia,5,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_2933.jpeg,Caries,0,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4486.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Gingivitis\(2191).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\307.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Caries\original\83.jpg,Caries,0,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_694.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_4924.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Calculus\(667).jpg,Calculus,1,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_508.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Gingivitis\(318).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Hypodontia\(278).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_6680.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_7253.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_9685.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Calculus\(15).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Hypodontia\(1189).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Calculus\(1000).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_4660.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\426.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_7017.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Caries\original\166.jpg,Caries,0,0
C:\lab-hackathon\dataset\Caries\original\53.jpg,Caries,0,0
C:\lab-hackathon\dataset\Calculus\(54).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Calculus\(663).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_3704.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Gingivitis\(548).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_6181.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_8006.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Hypodontia\(900).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Hypodontia\(732).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Calculus\(186).jpg,Calculus,1,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_259.jpeg,Caries,0,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4325.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_5081.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Calculus\(380).jpg,Calculus,1,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\184.jpg,Caries,0,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_4397.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_2702.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(12).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_7434.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\124.jpg,Caries,0,0
C:\lab-hackathon\dataset\Calculus\(31).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_9879.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Gingivitis\(1154).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(2074).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_673.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_8754.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_4815.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_1016.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\622.jpg,Tooth Discoloration,3,0
C:\lab-hackathon\dataset\Gingivitis\(447).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_3284.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_1948.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4360.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_925.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Gingivitis\(709).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_2168.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Calculus\(802).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Calculus\(587).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_9915.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4801.jpeg,Caries,0,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\86.jpg,Caries,0,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_4686.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Ulcers\original\85.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Hypodontia\(560).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_115.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_3611.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_8664.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Calculus\(1031).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_7153.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Gingivitis\(1055).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(1600).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Calculus\(50).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_6477.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Hypodontia\(951).jpg,Hypodontia,5,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_9624.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_9721.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_4665.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\618.jpg,Tooth Discoloration,3,0
C:\lab-hackathon\dataset\Calculus\(601).jpg,Calculus,1,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4480.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Ulcers\original\169.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_3943.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_9364.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_4763.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_5091.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Gingivitis\(2223).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_4568.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(998).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_86.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_4289.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Calculus\(1229).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Gingivitis\(819).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\(109).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\573.jpg,Tooth Discoloration,3,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_1807.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Hypodontia\(1248).jpg,Hypodontia,5,0
C:\lab-hackathon\dataset\Calculus\(783).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Hypodontia\(201).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_4952.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_6872.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(1086).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Hypodontia\(985).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Gingivitis\(651).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Hypodontia\(833).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Hypodontia\(714).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_6747.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_5458.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Hypodontia\(559).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\Calculus\(967).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_7150.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(2277).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_3477.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4248.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_2023.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Calculus\(1170).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_2175.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_5551.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Caries\augmented\caries_0_6244.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Calculus\(1179).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_8903.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_5196.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Gingivitis\(721).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(1093).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_8591.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Calculus\(968).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Calculus\(816).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_2143.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_8688.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_4157.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Gingivitis\(1814).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4177.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Calculus\(235).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_8829.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(2266).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_8627.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Gingivitis\(1316).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Ulcers\original\170.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\498.jpg,Tooth Discoloration,3,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_3005.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Gingivitis\(2187).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\246.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Ulcers\original\23.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\203.jpg,Caries,0,0
C:\lab-hackathon\dataset\Caries\original\0.jpg,Caries,0,0
C:\lab-hackathon\dataset\Hypodontia\(678).jpg,Hypodontia,5,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4688.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Caries\original\6.jpg,Caries,0,0
C:\lab-hackathon\dataset\Calculus\(332).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Hypodontia\(792).JPG,Hypodontia,5,0
